Fecha;Mes;Canal;Dispositivo;Edad;Género;Visitas;Visitas recurrentes;Pedidos;Precio medio;Número medio artículos;Suscripciones newletter;Suscripciones web
21/02/2021;Total;Total;Desktop;Más de 55;Hombre;150;18,75;0,5625;57;3;67,5;33,75
22/02/2021;Total;Total;Desktop;Más de 55;Hombre;153,75;22,5;0,525;35;1,5;70,5;35,25
23/02/2021;Total;Total;Desktop;Más de 55;Hombre;161,25;18,75;0,5625;45;2,5;72;36
24/02/2021;Total;Total;Desktop;Más de 55;Hombre;165;22,5;0,6;60;4;75;37,5
25/02/2021;Total;Total;Desktop;Más de 55;Hombre;168,75;26,25;0,6;70;2;78;39
26/02/2021;Total;Total;Desktop;Más de 55;Hombre;161,25;22,5;0,525;45;2,5;73,5;36,75
27/02/2021;Total;Total;Desktop;Más de 55;Hombre;168,75;26,25;0,5625;46;3;78;39
28/02/2021;Total;Total;Desktop;Más de 55;Hombre;172,5;26,25;0,6;35;1,5;79,5;39,75
01/01/2021;Total;Total;Tablet;18-24;Mujer;7,5;2,25;0,075;40;2,5;3,9;1,95
02/01/2021;Total;Total;Tablet;18-24;Mujer;11,25;1,5;0,09;35;4;5,1;2,55
03/01/2021;Total;Total;Tablet;18-24;Mujer;11,25;3,75;0,06;36;2,5;6;3
04/01/2021;Total;Total;Tablet;18-24;Mujer;13,5;4,5;0,09;42;3;7,2;3,6
05/01/2021;Total;Total;Tablet;18-24;Mujer;15;2,25;0,09;56;1,5;6,9;3,45
06/01/2021;Total;Total;Tablet;18-24;Mujer;15;2,25;0,09;57;2,5;6,9;3,45
07/01/2021;Total;Total;Tablet;18-24;Mujer;15,75;3;0,0825;35;4;7,5;3,75
08/01/2021;Total;Total;Tablet;18-24;Mujer;16,5;3,75;0,075;45;2;8,1;4,05
09/01/2021;Total;Total;Tablet;18-24;Mujer;13,5;2,25;0,0675;60;2,5;6,3;3,15
10/01/2021;Total;Total;Tablet;18-24;Mujer;14,25;3;0,0825;70;3;6,9;3,45
11/01/2021;Total;Total;Tablet;18-24;Mujer;16,5;3,75;0,0675;45;1,5;8,1;4,05
12/01/2021;Total;Total;Tablet;18-24;Mujer;15;2,25;0,075;46;2,5;6,9;3,45
13/01/2021;Total;Total;Tablet;18-24;Mujer;15,75;3;0,0825;35;4;7,5;3,75
14/01/2021;Total;Total;Tablet;18-24;Mujer;18;3,75;0,09;65;2;8,7;4,35
15/01/2021;Total;Total;Tablet;18-24;Mujer;18,75;3;0,0825;50;2,5;8,7;4,35
16/01/2021;Total;Total;Tablet;18-24;Mujer;18;1,5;0,075;45;3;7,8;3,9
17/01/2021;Total;Total;Tablet;18-24;Mujer;16,5;3,75;0,0825;65;1,5;8,1;4,05
18/01/2021;Total;Total;Tablet;18-24;Mujer;19,5;4,5;0,09;70;2,5;9,6;4,8
19/01/2021;Total;Total;Tablet;18-24;Mujer;20,25;3;0,0975;35;4;9,3;4,65
20/01/2021;Total;Total;Tablet;18-24;Mujer;18,75;2,25;0,0825;45;2;8,4;4,2
21/01/2021;Total;Total;Tablet;18-24;Mujer;19,5;3,75;0,0975;55;2,5;9,3;4,65
22/01/2021;Total;Total;Tablet;18-24;Mujer;20,25;4,5;0,105;67;3;9,9;4,95
23/01/2021;Total;Total;Tablet;18-24;Mujer;18;3;0,09;77;1,5;8,4;4,2
24/01/2021;Total;Total;Tablet;18-24;Mujer;17,25;2,25;0,075;40;2,5;7,8;3,9
25/01/2021;Total;Total;Tablet;18-24;Mujer;21;3;0,0825;35;4;9,6;4,8
26/01/2021;Total;Total;Tablet;18-24;Mujer;21,75;4,5;0,0675;36;2;10,5;5,25
27/01/2021;Total;Total;Tablet;18-24;Mujer;22,5;3,75;0,105;42;2,5;10,5;5,25
28/01/2021;Total;Total;Tablet;18-24;Mujer;23,25;4,5;0,1125;56;3;11,1;5,55
29/01/2021;Total;Total;Tablet;18-24;Mujer;21,75;3;0,105;57;1,5;9,9;4,95
30/01/2021;Total;Total;Tablet;18-24;Mujer;21;1,5;0,09;35;2,5;9;4,5
31/01/2021;Total;Total;Tablet;18-24;Mujer;22,125;3;0,0975;45;4;10,05;5,025
01/02/2021;Total;Total;Tablet;18-24;Mujer;24;4,5;0,1125;60;2;11,4;5,7
02/02/2021;Total;Total;Tablet;18-24;Mujer;24,75;3;0,0975;70;2,5;11,1;5,55
03/02/2021;Total;Total;Tablet;18-24;Mujer;23,25;3;0,09;45;3;10,5;5,25
04/02/2021;Total;Total;Tablet;18-24;Mujer;24;3,75;0,105;46;1,5;11,1;5,55
05/02/2021;Total;Total;Tablet;18-24;Mujer;23,25;2,25;0,0975;35;2,5;10,2;5,1
06/02/2021;Total;Total;Tablet;18-24;Mujer;26,25;3;0,1125;65;4;11,7;5,85
07/02/2021;Total;Total;Tablet;18-24;Mujer;27;3,75;0,1125;50;2;12,3;6,15
08/02/2021;Total;Total;Tablet;18-24;Mujer;24,75;2,25;0,09;45;2,5;10,8;5,4
09/02/2021;Total;Total;Tablet;18-24;Mujer;27;4,5;0,12;65;3;12,6;6,3
10/02/2021;Total;Total;Tablet;18-24;Mujer;26,25;3,75;0,1125;70;1,5;12;6
11/02/2021;Total;Total;Tablet;18-24;Mujer;25,5;3;0,105;35;2,5;11,4;5,7
12/02/2021;Total;Total;Tablet;18-24;Mujer;27,75;3,75;0,0975;45;4;12,6;6,3
13/02/2021;Total;Total;Tablet;18-24;Mujer;28,5;2,25;0,1125;55;2;12,3;6,15
14/02/2021;Total;Total;Tablet;18-24;Mujer;29,25;4,5;0,12;67;2,5;13,5;6,75
15/02/2021;Total;Total;Tablet;18-24;Mujer;28,5;3,75;0,1125;77;3;12,9;6,45
16/02/2021;Total;Total;Tablet;18-24;Mujer;29,25;4,5;0,105;40;1,5;13,5;6,75
17/02/2021;Total;Total;Tablet;18-24;Mujer;30;5,25;0,12;35;2,5;14,1;7,05
18/02/2021;Total;Total;Tablet;18-24;Mujer;30,75;5,25;0,12;36;4;14,4;7,2
19/02/2021;Total;Total;Tablet;18-24;Mujer;29,25;3;0,105;42;2;12,9;6,45
20/02/2021;Total;Total;Tablet;18-24;Mujer;31,5;4,5;0,12;56;2,5;14,4;7,2
21/02/2021;Total;Total;Tablet;18-24;Mujer;30;3,75;0,1125;57;3;13,5;6,75
22/02/2021;Total;Total;Tablet;18-24;Mujer;30,75;4,5;0,105;35;1,5;14,1;7,05
23/02/2021;Total;Total;Tablet;18-24;Mujer;32,25;3,75;0,1125;45;2,5;14,4;7,2
24/02/2021;Total;Total;Tablet;18-24;Mujer;33;4,5;0,12;60;4;15;7,5
25/02/2021;Total;Total;Tablet;18-24;Mujer;33,75;5,25;0,12;70;2;15,6;7,8
26/02/2021;Total;Total;Tablet;18-24;Mujer;32,25;4,5;0,105;45;2,5;14,7;7,35
27/02/2021;Total;Total;Tablet;18-24;Mujer;33,75;5,25;0,1125;46;3;15,6;7,8
28/02/2021;Total;Total;Tablet;18-24;Mujer;34,5;5,25;0,12;35;1,5;15,9;7,95
01/01/2021;Total;Total;Tablet;25-35;Mujer;10;3;0,1;40;2,5;5,2;2,6
02/01/2021;Total;Total;Tablet;25-35;Mujer;15;2;0,12;35;4;6,8;3,4
03/01/2021;Total;Total;Tablet;25-35;Mujer;15;5;0,08;36;2,5;8;4
04/01/2021;Total;Total;Tablet;25-35;Mujer;18;6;0,12;42;3;9,6;4,8
05/01/2021;Total;Total;Tablet;25-35;Mujer;20;3;0,12;56;1,5;9,2;4,6
06/01/2021;Total;Total;Tablet;25-35;Mujer;20;3;0,12;57;2,5;9,2;4,6
07/01/2021;Total;Total;Tablet;25-35;Mujer;21;4;0,11;35;4;10;5
08/01/2021;Total;Total;Tablet;25-35;Mujer;22;5;0,1;45;2;10,8;5,4
09/01/2021;Total;Total;Tablet;25-35;Mujer;18;3;0,09;60;2,5;8,4;4,2
10/01/2021;Total;Total;Tablet;25-35;Mujer;19;4;0,11;70;3;9,2;4,6
11/01/2021;Total;Total;Tablet;25-35;Mujer;22;5;0,09;45;1,5;10,8;5,4
12/01/2021;Total;Total;Tablet;25-35;Mujer;20;3;0,1;46;2,5;9,2;4,6
13/01/2021;Total;Total;Tablet;25-35;Mujer;21;4;0,11;35;4;10;5
14/01/2021;Total;Total;Tablet;25-35;Mujer;24;5;0,12;65;2;11,6;5,8
15/01/2021;Total;Total;Tablet;25-35;Mujer;25;4;0,11;50;2,5;11,6;5,8
16/01/2021;Total;Total;Tablet;25-35;Mujer;24;2;0,1;45;3;10,4;5,2
17/01/2021;Total;Total;Tablet;25-35;Mujer;22;5;0,11;65;1,5;10,8;5,4
18/01/2021;Total;Total;Tablet;25-35;Mujer;26;6;0,12;70;2,5;12,8;6,4
19/01/2021;Total;Total;Tablet;25-35;Mujer;27;4;0,13;35;4;12,4;6,2
20/01/2021;Total;Total;Tablet;25-35;Mujer;25;3;0,11;45;2;11,2;5,6
21/01/2021;Total;Total;Tablet;25-35;Mujer;26;5;0,13;55;2,5;12,4;6,2
22/01/2021;Total;Total;Tablet;25-35;Mujer;27;6;0,14;67;3;13,2;6,6
23/01/2021;Total;Total;Tablet;25-35;Mujer;24;4;0,12;77;1,5;11,2;5,6
24/01/2021;Total;Total;Tablet;25-35;Mujer;23;3;0,1;40;2,5;10,4;5,2
25/01/2021;Total;Total;Tablet;25-35;Mujer;28;4;0,11;35;4;12,8;6,4
26/01/2021;Total;Total;Tablet;25-35;Mujer;29;6;0,09;36;2;14;7
27/01/2021;Total;Total;Tablet;25-35;Mujer;30;5;0,14;42;2,5;14;7
28/01/2021;Total;Total;Tablet;25-35;Mujer;31;6;0,15;56;3;14,8;7,4
29/01/2021;Total;Total;Tablet;25-35;Mujer;29;4;0,14;57;1,5;13,2;6,6
30/01/2021;Total;Total;Tablet;25-35;Mujer;28;2;0,12;35;2,5;12;6
31/01/2021;Total;Total;Tablet;25-35;Mujer;29,5;4;0,13;45;4;13,4;6,7
01/02/2021;Total;Total;Tablet;25-35;Mujer;32;6;0,15;60;2;15,2;7,6
02/02/2021;Total;Total;Tablet;25-35;Mujer;33;4;0,13;70;2,5;14,8;7,4
03/02/2021;Total;Total;Tablet;25-35;Mujer;31;4;0,12;45;3;14;7
04/02/2021;Total;Total;Tablet;25-35;Mujer;32;5;0,14;46;1,5;14,8;7,4
05/02/2021;Total;Total;Tablet;25-35;Mujer;31;3;0,13;35;2,5;13,6;6,8
06/02/2021;Total;Total;Tablet;25-35;Mujer;35;4;0,15;65;4;15,6;7,8
07/02/2021;Total;Total;Tablet;25-35;Mujer;36;5;0,15;50;2;16,4;8,2
08/02/2021;Total;Total;Tablet;25-35;Mujer;33;3;0,12;45;2,5;14,4;7,2
09/02/2021;Total;Total;Tablet;25-35;Mujer;36;6;0,16;65;3;16,8;8,4
10/02/2021;Total;Total;Tablet;25-35;Mujer;35;5;0,15;70;1,5;16;8
11/02/2021;Total;Total;Tablet;25-35;Mujer;34;4;0,14;35;2,5;15,2;7,6
12/02/2021;Total;Total;Tablet;25-35;Mujer;37;5;0,13;45;4;16,8;8,4
13/02/2021;Total;Total;Tablet;25-35;Mujer;38;3;0,15;55;2;16,4;8,2
14/02/2021;Total;Total;Tablet;25-35;Mujer;39;6;0,16;67;2,5;18;9
15/02/2021;Total;Total;Tablet;25-35;Mujer;38;5;0,15;77;3;17,2;8,6
16/02/2021;Total;Total;Tablet;25-35;Mujer;39;6;0,14;40;1,5;18;9
17/02/2021;Total;Total;Tablet;25-35;Mujer;40;7;0,16;35;2,5;18,8;9,4
18/02/2021;Total;Total;Tablet;25-35;Mujer;41;7;0,16;36;4;19,2;9,6
19/02/2021;Total;Total;Tablet;25-35;Mujer;39;4;0,14;42;2;17,2;8,6
20/02/2021;Total;Total;Tablet;25-35;Mujer;42;6;0,16;56;2,5;19,2;9,6
21/02/2021;Total;Total;Tablet;25-35;Mujer;40;5;0,15;57;3;18;9
22/02/2021;Total;Total;Tablet;25-35;Mujer;41;6;0,14;35;1,5;18,8;9,4
23/02/2021;Total;Total;Tablet;25-35;Mujer;43;5;0,15;45;2,5;19,2;9,6
24/02/2021;Total;Total;Tablet;25-35;Mujer;44;6;0,16;60;4;20;10
25/02/2021;Total;Total;Tablet;25-35;Mujer;45;7;0,16;70;2;20,8;10,4
26/02/2021;Total;Total;Tablet;25-35;Mujer;43;6;0,14;45;2,5;19,6;9,8
27/02/2021;Total;Total;Tablet;25-35;Mujer;45;7;0,15;46;3;20,8;10,4
28/02/2021;Total;Total;Tablet;25-35;Mujer;46;7;0,16;35;1,5;21,2;10,6
01/01/2021;Total;Total;Tablet;36-55;Mujer;20;6;0,2;40;2,5;10,4;5,2
02/01/2021;Total;Total;Tablet;36-55;Mujer;30;4;0,24;35;4;13,6;6,8
03/01/2021;Total;Total;Tablet;36-55;Mujer;30;10;0,16;36;2,5;16;8
04/01/2021;Total;Total;Tablet;36-55;Mujer;36;12;0,24;42;3;19,2;9,6
05/01/2021;Total;Total;Tablet;36-55;Mujer;40;6;0,24;56;1,5;18,4;9,2
06/01/2021;Total;Total;Tablet;36-55;Mujer;40;6;0,24;57;2,5;18,4;9,2
07/01/2021;Total;Total;Tablet;36-55;Mujer;42;8;0,22;35;4;20;10
08/01/2021;Total;Total;Tablet;36-55;Mujer;44;10;0,2;45;2;21,6;10,8
09/01/2021;Total;Total;Tablet;36-55;Mujer;36;6;0,18;60;2,5;16,8;8,4
10/01/2021;Total;Total;Tablet;36-55;Mujer;38;8;0,22;70;3;18,4;9,2
11/01/2021;Total;Total;Tablet;36-55;Mujer;44;10;0,18;45;1,5;21,6;10,8
12/01/2021;Total;Total;Tablet;36-55;Mujer;40;6;0,2;46;2,5;18,4;9,2
13/01/2021;Total;Total;Tablet;36-55;Mujer;42;8;0,22;35;4;20;10
14/01/2021;Total;Total;Tablet;36-55;Mujer;48;10;0,24;65;2;23,2;11,6
15/01/2021;Total;Total;Tablet;36-55;Mujer;50;8;0,22;50;2,5;23,2;11,6
16/01/2021;Total;Total;Tablet;36-55;Mujer;48;4;0,2;45;3;20,8;10,4
17/01/2021;Total;Total;Tablet;36-55;Mujer;44;10;0,22;65;1,5;21,6;10,8
18/01/2021;Total;Total;Tablet;36-55;Mujer;52;12;0,24;70;2,5;25,6;12,8
19/01/2021;Total;Total;Tablet;36-55;Mujer;54;8;0,26;35;4;24,8;12,4
20/01/2021;Total;Total;Tablet;36-55;Mujer;50;6;0,22;45;2;22,4;11,2
21/01/2021;Total;Total;Tablet;36-55;Mujer;52;10;0,26;55;2,5;24,8;12,4
22/01/2021;Total;Total;Tablet;36-55;Mujer;54;12;0,28;67;3;26,4;13,2
23/01/2021;Total;Total;Tablet;36-55;Mujer;48;8;0,24;77;1,5;22,4;11,2
24/01/2021;Total;Total;Tablet;36-55;Mujer;46;6;0,2;40;2,5;20,8;10,4
25/01/2021;Total;Total;Tablet;36-55;Mujer;56;8;0,22;35;4;25,6;12,8
26/01/2021;Total;Total;Tablet;36-55;Mujer;58;12;0,18;36;2;28;14
27/01/2021;Total;Total;Tablet;36-55;Mujer;60;10;0,28;42;2,5;28;14
28/01/2021;Total;Total;Tablet;36-55;Mujer;62;12;0,3;56;3;29,6;14,8
29/01/2021;Total;Total;Tablet;36-55;Mujer;58;8;0,28;57;1,5;26,4;13,2
30/01/2021;Total;Total;Tablet;36-55;Mujer;56;4;0,24;35;2,5;24;12
31/01/2021;Total;Total;Tablet;36-55;Mujer;59;8;0,26;45;4;26,8;13,4
01/02/2021;Total;Total;Tablet;36-55;Mujer;64;12;0,3;60;2;30,4;15,2
02/02/2021;Total;Total;Tablet;36-55;Mujer;66;8;0,26;70;2,5;29,6;14,8
03/02/2021;Total;Total;Tablet;36-55;Mujer;62;8;0,24;45;3;28;14
04/02/2021;Total;Total;Tablet;36-55;Mujer;64;10;0,28;46;1,5;29,6;14,8
05/02/2021;Total;Total;Tablet;36-55;Mujer;62;6;0,26;35;2,5;27,2;13,6
06/02/2021;Total;Total;Tablet;36-55;Mujer;70;8;0,3;65;4;31,2;15,6
07/02/2021;Total;Total;Tablet;36-55;Mujer;72;10;0,3;50;2;32,8;16,4
08/02/2021;Total;Total;Tablet;36-55;Mujer;66;6;0,24;45;2,5;28,8;14,4
09/02/2021;Total;Total;Tablet;36-55;Mujer;72;12;0,32;65;3;33,6;16,8
10/02/2021;Total;Total;Tablet;36-55;Mujer;70;10;0,3;70;1,5;32;16
11/02/2021;Total;Total;Tablet;36-55;Mujer;68;8;0,28;35;2,5;30,4;15,2
12/02/2021;Total;Total;Tablet;36-55;Mujer;74;10;0,26;45;4;33,6;16,8
13/02/2021;Total;Total;Tablet;36-55;Mujer;76;6;0,3;55;2;32,8;16,4
14/02/2021;Total;Total;Tablet;36-55;Mujer;78;12;0,32;67;2,5;36;18
15/02/2021;Total;Total;Tablet;36-55;Mujer;76;10;0,3;77;3;34,4;17,2
16/02/2021;Total;Total;Tablet;36-55;Mujer;78;12;0,28;40;1,5;36;18
17/02/2021;Total;Total;Tablet;36-55;Mujer;80;14;0,32;35;2,5;37,6;18,8
18/02/2021;Total;Total;Tablet;36-55;Mujer;82;14;0,32;36;4;38,4;19,2
19/02/2021;Total;Total;Tablet;36-55;Mujer;78;8;0,28;42;2;34,4;17,2
20/02/2021;Total;Total;Tablet;36-55;Mujer;84;12;0,32;56;2,5;38,4;19,2
21/02/2021;Total;Total;Tablet;36-55;Mujer;80;10;0,3;57;3;36;18
22/02/2021;Total;Total;Tablet;36-55;Mujer;82;12;0,28;35;1,5;37,6;18,8
23/02/2021;Total;Total;Tablet;36-55;Mujer;86;10;0,3;45;2,5;38,4;19,2
24/02/2021;Total;Total;Tablet;36-55;Mujer;88;12;0,32;60;4;40;20
25/02/2021;Total;Total;Tablet;36-55;Mujer;90;14;0,32;70;2;41,6;20,8
26/02/2021;Total;Total;Tablet;36-55;Mujer;86;12;0,28;45;2,5;39,2;19,6
27/02/2021;Total;Total;Tablet;36-55;Mujer;90;14;0,3;46;3;41,6;20,8
28/02/2021;Total;Total;Tablet;36-55;Mujer;92;14;0,32;35;1,5;42,4;21,2
01/01/2021;Total;Total;Tablet;Más de 55;Mujer;12,5;3,75;0,125;40;2,5;6,5;3,25
02/01/2021;Total;Total;Tablet;Más de 55;Mujer;18,75;2,5;0,15;35;4;8,5;4,25
03/01/2021;Total;Total;Tablet;Más de 55;Mujer;18,75;6,25;0,1;36;2,5;10;5
04/01/2021;Total;Total;Tablet;Más de 55;Mujer;22,5;7,5;0,15;42;3;12;6
05/01/2021;Total;Total;Tablet;Más de 55;Mujer;25;3,75;0,15;56;1,5;11,5;5,75
06/01/2021;Total;Total;Tablet;Más de 55;Mujer;25;3,75;0,15;57;2,5;11,5;5,75
07/01/2021;Total;Total;Tablet;Más de 55;Mujer;26,25;5;0,1375;35;4;12,5;6,25
08/01/2021;Total;Total;Tablet;Más de 55;Mujer;27,5;6,25;0,125;45;2;13,5;6,75
09/01/2021;Total;Total;Tablet;Más de 55;Mujer;22,5;3,75;0,1125;60;2,5;10,5;5,25
10/01/2021;Total;Total;Tablet;Más de 55;Mujer;23,75;5;0,1375;70;3;11,5;5,75
11/01/2021;Total;Total;Tablet;Más de 55;Mujer;27,5;6,25;0,1125;45;1,5;13,5;6,75
12/01/2021;Total;Total;Tablet;Más de 55;Mujer;25;3,75;0,125;46;2,5;11,5;5,75
13/01/2021;Total;Total;Tablet;Más de 55;Mujer;26,25;5;0,1375;35;4;12,5;6,25
14/01/2021;Total;Total;Tablet;Más de 55;Mujer;30;6,25;0,15;65;2;14,5;7,25
15/01/2021;Total;Total;Tablet;Más de 55;Mujer;31,25;5;0,1375;50;2,5;14,5;7,25
16/01/2021;Total;Total;Tablet;Más de 55;Mujer;30;2,5;0,125;45;3;13;6,5
17/01/2021;Total;Total;Tablet;Más de 55;Mujer;27,5;6,25;0,1375;65;1,5;13,5;6,75
18/01/2021;Total;Total;Tablet;Más de 55;Mujer;32,5;7,5;0,15;70;2,5;16;8
19/01/2021;Total;Total;Tablet;Más de 55;Mujer;33,75;5;0,1625;35;4;15,5;7,75
20/01/2021;Total;Total;Tablet;Más de 55;Mujer;31,25;3,75;0,1375;45;2;14;7
21/01/2021;Total;Total;Tablet;Más de 55;Mujer;32,5;6,25;0,1625;55;2,5;15,5;7,75
22/01/2021;Total;Total;Tablet;Más de 55;Mujer;33,75;7,5;0,175;67;3;16,5;8,25
23/01/2021;Total;Total;Tablet;Más de 55;Mujer;30;5;0,15;77;1,5;14;7
24/01/2021;Total;Total;Tablet;Más de 55;Mujer;28,75;3,75;0,125;40;2,5;13;6,5
25/01/2021;Total;Total;Tablet;Más de 55;Mujer;35;5;0,1375;35;4;16;8
26/01/2021;Total;Total;Tablet;Más de 55;Mujer;36,25;7,5;0,1125;36;2;17,5;8,75
27/01/2021;Total;Total;Tablet;Más de 55;Mujer;37,5;6,25;0,175;42;2,5;17,5;8,75
28/01/2021;Total;Total;Tablet;Más de 55;Mujer;38,75;7,5;0,1875;56;3;18,5;9,25
29/01/2021;Total;Total;Tablet;Más de 55;Mujer;36,25;5;0,175;57;1,5;16,5;8,25
30/01/2021;Total;Total;Tablet;Más de 55;Mujer;35;2,5;0,15;35;2,5;15;7,5
31/01/2021;Total;Total;Tablet;Más de 55;Mujer;36,875;5;0,1625;45;4;16,75;8,375
01/02/2021;Total;Total;Tablet;Más de 55;Mujer;40;7,5;0,1875;60;2;19;9,5
02/02/2021;Total;Total;Tablet;Más de 55;Mujer;41,25;5;0,1625;70;2,5;18,5;9,25
03/02/2021;Total;Total;Tablet;Más de 55;Mujer;38,75;5;0,15;45;3;17,5;8,75
04/02/2021;Total;Total;Tablet;Más de 55;Mujer;40;6,25;0,175;46;1,5;18,5;9,25
05/02/2021;Total;Total;Tablet;Más de 55;Mujer;38,75;3,75;0,1625;35;2,5;17;8,5
06/02/2021;Total;Total;Tablet;Más de 55;Mujer;43,75;5;0,1875;65;4;19,5;9,75
07/02/2021;Total;Total;Tablet;Más de 55;Mujer;45;6,25;0,1875;50;2;20,5;10,25
08/02/2021;Total;Total;Tablet;Más de 55;Mujer;41,25;3,75;0,15;45;2,5;18;9
09/02/2021;Total;Total;Tablet;Más de 55;Mujer;45;7,5;0,2;65;3;21;10,5
10/02/2021;Total;Total;Tablet;Más de 55;Mujer;43,75;6,25;0,1875;70;1,5;20;10
11/02/2021;Total;Total;Tablet;Más de 55;Mujer;42,5;5;0,175;35;2,5;19;9,5
12/02/2021;Total;Total;Tablet;Más de 55;Mujer;46,25;6,25;0,1625;45;4;21;10,5
13/02/2021;Total;Total;Tablet;Más de 55;Mujer;47,5;3,75;0,1875;55;2;20,5;10,25
14/02/2021;Total;Total;Tablet;Más de 55;Mujer;48,75;7,5;0,2;67;2,5;22,5;11,25
15/02/2021;Total;Total;Tablet;Más de 55;Mujer;47,5;6,25;0,1875;77;3;21,5;10,75
16/02/2021;Total;Total;Tablet;Más de 55;Mujer;48,75;7,5;0,175;40;1,5;22,5;11,25
17/02/2021;Total;Total;Tablet;Más de 55;Mujer;50;8,75;0,2;35;2,5;23,5;11,75
18/02/2021;Total;Total;Tablet;Más de 55;Mujer;51,25;8,75;0,2;36;4;24;12
19/02/2021;Total;Total;Tablet;Más de 55;Mujer;48,75;5;0,175;42;2;21,5;10,75
20/02/2021;Total;Total;Tablet;Más de 55;Mujer;52,5;7,5;0,2;56;2,5;24;12
21/02/2021;Total;Total;Tablet;Más de 55;Mujer;50;6,25;0,1875;57;3;22,5;11,25
22/02/2021;Total;Total;Tablet;Más de 55;Mujer;51,25;7,5;0,175;35;1,5;23,5;11,75
23/02/2021;Total;Total;Tablet;Más de 55;Mujer;53,75;6,25;0,1875;45;2,5;24;12
24/02/2021;Total;Total;Tablet;Más de 55;Mujer;55;7,5;0,2;60;4;25;12,5
25/02/2021;Total;Total;Tablet;Más de 55;Mujer;56,25;8,75;0,2;70;2;26;13
26/02/2021;Total;Total;Tablet;Más de 55;Mujer;53,75;7,5;0,175;45;2,5;24,5;12,25
27/02/2021;Total;Total;Tablet;Más de 55;Mujer;56,25;8,75;0,1875;46;3;26;13
28/02/2021;Total;Total;Tablet;Más de 55;Mujer;57,5;8,75;0,2;35;1,5;26,5;13,25
01/01/2021;Total;Total;Tablet;18-24;Hombre;7,5;2,25;0,075;40;2,5;3,9;1,95
02/01/2021;Total;Total;Tablet;18-24;Hombre;11,25;1,5;0,09;35;4;5,1;2,55
03/01/2021;Total;Total;Tablet;18-24;Hombre;11,25;3,75;0,06;36;2,5;6;3
04/01/2021;Total;Total;Tablet;18-24;Hombre;13,5;4,5;0,09;42;3;7,2;3,6
05/01/2021;Total;Total;Tablet;18-24;Hombre;15;2,25;0,09;56;1,5;6,9;3,45
06/01/2021;Total;Total;Tablet;18-24;Hombre;15;2,25;0,09;57;2,5;6,9;3,45
07/01/2021;Total;Total;Tablet;18-24;Hombre;15,75;3;0,0825;35;4;7,5;3,75
08/01/2021;Total;Total;Tablet;18-24;Hombre;16,5;3,75;0,075;45;2;8,1;4,05
09/01/2021;Total;Total;Tablet;18-24;Hombre;13,5;2,25;0,0675;60;2,5;6,3;3,15
10/01/2021;Total;Total;Tablet;18-24;Hombre;14,25;3;0,0825;70;3;6,9;3,45
11/01/2021;Total;Total;Tablet;18-24;Hombre;16,5;3,75;0,0675;45;1,5;8,1;4,05
12/01/2021;Total;Total;Tablet;18-24;Hombre;15;2,25;0,075;46;2,5;6,9;3,45
13/01/2021;Total;Total;Tablet;18-24;Hombre;15,75;3;0,0825;35;4;7,5;3,75
14/01/2021;Total;Total;Tablet;18-24;Hombre;18;3,75;0,09;65;2;8,7;4,35
15/01/2021;Total;Total;Tablet;18-24;Hombre;18,75;3;0,0825;50;2,5;8,7;4,35
16/01/2021;Total;Total;Tablet;18-24;Hombre;18;1,5;0,075;45;3;7,8;3,9
17/01/2021;Total;Total;Tablet;18-24;Hombre;16,5;3,75;0,0825;65;1,5;8,1;4,05
18/01/2021;Total;Total;Tablet;18-24;Hombre;19,5;4,5;0,09;70;2,5;9,6;4,8
19/01/2021;Total;Total;Tablet;18-24;Hombre;20,25;3;0,0975;35;4;9,3;4,65
20/01/2021;Total;Total;Tablet;18-24;Hombre;18,75;2,25;0,0825;45;2;8,4;4,2
21/01/2021;Total;Total;Tablet;18-24;Hombre;19,5;3,75;0,0975;55;2,5;9,3;4,65
22/01/2021;Total;Total;Tablet;18-24;Hombre;20,25;4,5;0,105;67;3;9,9;4,95
23/01/2021;Total;Total;Tablet;18-24;Hombre;18;3;0,09;77;1,5;8,4;4,2
24/01/2021;Total;Total;Tablet;18-24;Hombre;17,25;2,25;0,075;40;2,5;7,8;3,9
25/01/2021;Total;Total;Tablet;18-24;Hombre;21;3;0,0825;35;4;9,6;4,8
26/01/2021;Total;Total;Tablet;18-24;Hombre;21,75;4,5;0,0675;36;2;10,5;5,25
27/01/2021;Total;Total;Tablet;18-24;Hombre;22,5;3,75;0,105;42;2,5;10,5;5,25
28/01/2021;Total;Total;Tablet;18-24;Hombre;23,25;4,5;0,1125;56;3;11,1;5,55
29/01/2021;Total;Total;Tablet;18-24;Hombre;21,75;3;0,105;57;1,5;9,9;4,95
30/01/2021;Total;Total;Tablet;18-24;Hombre;21;1,5;0,09;35;2,5;9;4,5
31/01/2021;Total;Total;Tablet;18-24;Hombre;22,125;3;0,0975;45;4;10,05;5,025
01/02/2021;Total;Total;Tablet;18-24;Hombre;24;4,5;0,1125;60;2;11,4;5,7
02/02/2021;Total;Total;Tablet;18-24;Hombre;24,75;3;0,0975;70;2,5;11,1;5,55
03/02/2021;Total;Total;Tablet;18-24;Hombre;23,25;3;0,09;45;3;10,5;5,25
04/02/2021;Total;Total;Tablet;18-24;Hombre;24;3,75;0,105;46;1,5;11,1;5,55
